date,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1990-01-02,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1990-01-03,99.33,99.43,101.1,99.99,99.27,100.19,100.14,100.56,100.44,99.55,100.32,101.45,100.25,100.23,99.97,100.92,98.8,103.15,98.66,99.47,99.43,100.17,100.32,100.28,99.29,99.51,100.62,99.38,100.41,100.16
1990-01-04,98.59,98.72,97.91,99.79,99.26,99.72,99.64,100.03,99.87,98.95,100.18,101.71,99.53,99.73,99.58,101.36,99.88,99.75,97.57,98.2,97.54,100.38,100.72,100.0,98.92,98.77,100.53,97.75,99.96,99.38
1990-01-05,97.89,97.82,98.29,99.72,98.26,98.92,99.85,98.69,99.56,98.2,99.63,101.56,98.85,98.83,98.25,101.05,102.57,99.79,96.56,96.91,95.72,99.76,100.37,99.18,98.22,98.34,100.05,96.51,99.38,99.49
1990-01-08,97.85,99.06,95.74,99.72,98.23,99.5,98.99,99.25,99.71,97.06,100.0,101.93,99.29,99.31,98.39,101.46,101.37,99.81,97.61,96.75,96.8,100.11,101.03,99.88,98.46,98.31,100.23,98.0,99.25,99.24
1990-01-09,97.13,98.09,93.75,99.22,97.22,98.9,97.28,98.23,99.09,96.6,99.67,100.94,98.47,98.0,97.78,100.1,101.56,97.81,96.41,96.15,95.37,99.02,100.31,99.06,97.7,97.86,98.91,97.22,98.33,98.13
1990-01-10,96.45,96.6,92.51,96.76,96.75,98.47,97.4,97.59,98.34,95.71,98.82,100.88,98.36,98.05,97.4,99.75,104.82,99.17,96.46,96.27,93.76,97.82,99.38,98.11,96.78,97.44,97.9,95.67,97.39,96.9
1990-01-11,96.52,96.32,92.98,96.2,97.08,99.03,97.35,98.05,98.81,94.77,99.09,100.98,98.74,98.25,97.8,99.24,107.16,102.53,97.29,96.53,93.39,97.65,99.8,98.03,96.67,97.58,98.18,94.99,97.66,97.49
1990-01-12,94.63,93.79,90.37,93.38,94.79,96.43,94.62,95.54,96.62,92.58,97.02,98.74,96.83,95.66,94.81,97.24,105.76,98.96,95.38,94.9,90.77,95.44,97.38,95.65,94.57,95.57,95.71,92.75,95.77,94.52
1990-01-15,94.09,92.52,89.2,92.39,93.76,96.01,94.3,94.66,95.41,91.35,95.75,97.61,95.84,94.98,93.93,96.65,106.39,98.8,95.13,94.44,89.38,94.39,97.05,94.54,94.16,94.55,94.59,91.1,94.66,92.82
1990-01-16,95.08,94.52,91.81,93.98,94.0,96.46,94.96,95.42,96.46,91.71,96.57,98.03,96.38,95.95,96.43,97.26,105.6,98.98,95.51,94.97,90.58,95.57,99.16,95.06,95.67,94.84,95.14,92.11,95.0,94.43
1990-01-17,94.15,93.74,89.85,93.05,93.54,95.93,93.54,94.95,95.64,91.99,96.36,95.28,95.52,95.36,95.23,97.0,105.89,98.08,94.65,94.7,89.46,95.26,98.29,94.88,94.53,94.24,94.62,91.65,94.44,94.01
